sci_name,com_name,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et
Chloropsis hardwickii,Orange-bellied Leafbird,Aves,Orangebauch-Blattvogel,Verdín Ventrinaranja,zielenik złotobrzuchy,Verdin de Hardwicke,Oranjebuikbladvogel,Оранжевобрюхая листовка,アカハラコノハドリ,sýkavka oranžovobřichá,verdet de ventre taronja occidental,orange-bellied leafbird,oransjebukbladfugl,Оранжевокорема зелена самодивска птица,orangebukig bladfågel,Orangebuget Bladfugl,Turuncu Karınlı Yaprakkuşu,zelenáčik pestrý,Narandžastotrba listarka,Зеленчик золоточеревий,橙腹叶鹎,rusovatsalehvi,Verdín ventrinaranja,Verdín Ventrinaranja,Verdín Ventrinaranja,Orange-bellied leafbird,narančastotrba zelenka,Apelsininis žaliasis lapinukas,برگنشین شکمنارنجی,aderyn dail tororen,ruugekõht-viherlüüdik
Chloropsis lazulina,Chloropsis lazulina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloropsis jerdoni,Jerdon's Leafbird,Aves,Jerdonblattvogel,Verdín de Jerdon,zielenik dekański,Verdin de Jerdon,Jerdonbladvogel,Индийская листовка,ジャードンコノハドリ,sýkavka indická,verdet de Jerdon,jerdon's leafbird,hindubladfugl,Индийска зелена самодивска птица,indisk bladfågel,Tamil Bladfugl,Jerdon Yaprakkuşu,zelenáčik indický,Džerdonova listarka,Зеленчик індійський,杰尔登叶鹎,intianlehvi,Verdín de Jerdon,Verdín de Jerdon,Verdín de Jerdon,Jerdon's leafbird,indijska zelenka,Džerdono žaliasis lapinukas,برگنشین جردان,Jerdon's Leafbird,india viherlüüdik
Chloropsis kinabaluensis,Bornean Leafbird,Aves,Borneoblattvogel,Verdín de Borneo,zielenik górski,Verdin de Bornéo,Borneose bladvogel,Борнейская листовка,ボルネオコノハドリ,sýkavka bornejská,verdet del Kinabalu,bornean leafbird,kinabalubladfugl,Борнейска зелена самодивска птица,borneobladfågel,Kinabalu Bladfugl,Borneo Yaprakkuşu,zelenáčik bornejský,Borneanska listarka,Зеленчик борнейський,婆罗洲叶鹎,kinabalunlehvi,Verdín de Borneo,Verdín de Borneo,Verdín de Borneo,Bornean leafbird,borneanska zelenka,Bornėjinis žaliasis lapinukas,برگنشین بورنئو,Bornean Leafbird,mägi-viherlüüdik
Chloropsis moluccensis,Blue-winged Leafbird,Aves,Blauflügel-Blattvogel,Verdín Aliazul,zielenik błękitnoskrzydły,Verdin à ailes bleues,Blauwvleugelbladvogel,Голубокрылая листовка,アオバネコノハドリ,sýkavka molucká,verdet alablau,blue-winged leafbird,blåvingebladfugl,Молукска  зелена самодивска птица,blåvingad bladfågel,Sumatra Blåvinget Bladfugl,Sunda Yaprakkuşu,zelenáčik modrokrídly,Plavokrila listarka,Зеленчик синьокрилий,蓝翅叶鹎,sinisiipilehvi,Verdín aliazul,Verdín Aliazul,Verdín Aliazul,Blue-winged leafbird,plavokrila zelenka,Blue-winged Leafbird,Blue-winged Leafbird,Blue-winged Leafbird,Blue-winged Leafbird
Chloropsis palawanensis,Yellow-throated Leafbird,Aves,Palawanblattvogel,Verdín de Palawan,zielenik palawański,Verdin de Palawan,Palawanbladvogel,Палаванская листовка,パラワンコノハドリ,sýkavka palawanská,verdet gorjagroc,yellow-throated leafbird,gulstrupebladfugl,Палауанска зелена самодивска птица,palawanbladfågel,Palawan Bladfugl,Palavan Yaprakkuşu,zelenáčik žltohrdlý,Žutogrla listarka,Зеленчик палаванський,黄喉叶鹎,palawaninlehvi,Verdín de Palawan,Verdín de Palawan,Verdín de Palawan,Yellow-throated leafbird,žutogrla zelenka,Palavaninis žaliasis lapinukas,برگنشین گلوزرد,Aderyn dail Palawan,palawani viherlüüdik
Chloropsis sonnerati,Greater Green Leafbird,Aves,Dickschnabel-Blattvogel,Verdín de Sonnerat,zielenik duży,Verdin de Sonnerat,Diksnavelbladvogel,Большая листовка,オオコノハドリ,sýkavka větší,verdet de Sonnerat,greater green leafbird,smaragdbladfugl,Голяма зелена самодивска птица,smaragdbladfågel,Smaragdbladfugl,Sonnerat Yaprakkuşu,zelenáčik veľkozobý,Velika zelena listarka,Зеленчик великий,大绿叶鹎,viherlehvi,Verdín de Sonnerat,Verdín de Sonnerat,Verdín de Sonnerat,Greater green leafbird,velika zelenka,Didysis žaliasis lapinukas,برگنشین سبز بزرگ,Aderyn dail gwyrdd mawr,suur-viherlüüdik
Chlorornis riefferii,Grass-green Tanager,Aves,Papageitangare,Tangara Lorito,andotanager zielony,Tangara de Rieffer,Papegaaitangare,Попугаевая танагра,ワカクサフウキンチョウ,tangara papouščí,tàngara de Rieffer,grass-green tanager,grønntanagar,Зелена планинска танагра,grön bergtangara,Grøntangar,Yemyeşil Tangara,tangara hnedolíca,Travnatozelena tangara,Танагра червононога,草绿唐纳雀,malakiittitangara,Tangara lorito,Tangara Lorito,Tangara Carirrojo (Verde),Grass-green tanager,zelena tangara,Grass-green Tanager,فرخنده سبزچمنی,Tanagr gwyrdd,malahhiit-tangara
Chlorospingus canigularis,Ashy-throated Chlorospingus,Aves,Graukehl-Grünammer,Clorospingo Gorjigrís,zieleniec obrożny,Chlorospin à gorge grise,Grijskeeltangare,Серогорлый дромник,ハイノドヤブフウキンチョウ,tangara kouřová,tàngara de matollar capgrisa,ashy-throated chlorospingus,gråstrupetanagarspurv,Сивогуша зелена танагра,gråstrupig busksparv,Gråstrubet Krattangar,Gri Gerdanlı Klorospingus,olivec sivohrdlý,Pepeljastogrli hlorospingus,Зеленник сивогорлий,灰喉灌丛唐纳雀,keltarintatangara,Clorospingo gorjigrís,Clorospingo Gorjigrís,Clorospingo Golicinéreo,Ashy-throated chlorospingus,srebrnastogrli strnadar,Ashy-throated Chlorospingus,سبزجامه گلوخاکستری,Tanagr prysgoed gyddflwyd,väädi-samblasidrik
Chlorospingus flavigularis,Yellow-throated Chlorospingus,Aves,Gelbkehl-Grünammer,Clorospingo Gorjiamarillo,zieleniec żółtogardły,Chlorospin à gorge jaune,Geelborsttangare,Желтогорлый дромник,キノドヤブフウキンチョウ,tangara žlutohrdlá,tàngara de matollar gorjagroga,yellow-throated chlorospingus,gulhaketanagarspurv,Жълтогуша зелена танагра,gulstrupig busksparv,Gulstrubet Krattangar,Sarı Gerdanlı Klorospingus,olivec žltohrdlý,Žutogrli hlorospingus,Зеленник жовтогорлий,黄喉灌丛唐纳雀,keltakurkkutangara,Clorospingo gorjiamarillo,Clorospingo Gorjiamarillo,Clorospingo Goliamarillo,Yellow-throated chlorospingus,sivoprsi strnadar,Yellow-throated Chlorospingus,سبزجامه گلوزرد,Tanagr prysgoed gyddf-felyn,koldkurk-samblasidrik
Chlorospingus flavopectus,Common Chlorospingus,Aves,Finkengrünammer,Clorospingo Común,zieleniec żółtopierśny,Chlorospin des buissons,Briltangare,Очковый дромник,ヤブフウキンチョウ,tangara křovinná,tàngara de matollar comuna,common chlorospingus,busktanagarspurv,Обикновена зелена танагра,glasögonbusksparv,Gulbrystet Krattangar,Klorospingus,olivec žltoprsý,Obični hlorospingus,Зеленник мінливобарвний,灌丛唐纳雀,sammaltangara,Clorospingo común,Chinchinero Común,Clorospingo Común,Common chlorospingus,tamnoglavi strnadar,paprastoji krūmyninė tanagra,فرخنده بیشهای معمولی,Common Chlorospingus,samblasidrik
Chlorospingus inornatus,Pirre Chlorospingus,Aves,Schwarzwangen-Grünammer,Clorospingo del Pirre,zieleniec kropkowany,Chlorospin du Pirré,Pirretangare,Чернощёкий дромник,ホシヤブフウキンチョウ,tangara černolící,tàngara de matollar del Pirré,pirre chlorospingus,pirretanagarspurv,Пиренска зелена танагра,pirrebusksparv,Skiferhovedet Krattangar,Pirre Klorospingusu,olivec čiernolíci,Crnoliki hlorospingus,Зеленник чорнощокий,Pirre Chlorospingus,panamansammaltangara,Clorospingo del Pirre,Clorospingo del Pirre,Clorospingo del Pirre,Pirre chlorospingus,olovastoglavi strnadar,Pirre Chlorospingus,Pirre Chlorospingus,Tanagr prysgoed corunddu,dariéni samblasidrik
Chlorospingus parvirostris,Short-billed Chlorospingus,Aves,Kurzschnabel-Grünammer,Clorospingo Bigotudo,zieleniec żółtowąsy,Chlorospin à bec court,Kortsnaveltangare,Короткоклювый дромник,コバシヤブフウキンチョウ,tangara krátkozobá,tàngara de matollar bigotuda,short-billed chlorospingus,gulskjeggtanagarspurv,Късоклюна зелена танагра,gulskäggig busksparv,Gulskægget Krattangar,Sarı Bıyıklı Klorospingus,olivec fúzatý,Kratkokljuni hlorospingus,Зеленник короткодзьобий,短嘴灌丛唐纳雀,sinappiposkitangara,Clorospingo bigotudo,Clorospingo Bigotudo,Clorospingo Bigotudo,Short-billed chlorospingus,olovastotrbi strnadar,Short-billed Chlorospingus,سبزجامه سبیلزرد,Tanagr prysgoed pigfyr,krae-samblasidrik
Chlorospingus pileatus,Sooty-capped Chlorospingus,Aves,Weißbrauen-Grünammer,Clorospingo Cejiblanco,zieleniec białobrewy,Chlorospin à sourcils brisés,Witbrauwtangare,Белобровый дромник,マミジロヤブフウキンチョウ,tangara hnědobílá,tàngara de matollar celluda,sooty-capped chlorospingus,bredbryntanagarspurv,Костариканска зелена танагра,vitbrynad busksparv,Stribehovedet Krattangar,Kara Başlı Klorospingus,olivec vrchovský,Čađavokapi hlorospingus,Зеленник білобровий,乌顶灌丛唐纳雀,tiaistangara,Clorospingo cejiblanco,Clorospingo Cejiblanco,Clorospingo Cejiblanco,Sooty-capped chlorospingus,sivogrli strnadar,Sooty-capped Chlorospingus,سبزجامه کلاهدودی,Tanagr prysgoed aelwyn,tihas-samblasidrik
Chlorospingus semifuscus,Dusky Chlorospingus,Aves,Graubrust-Grünammer,Clorospingo Oscuro,zieleniec szarobrzuchy,Chlorospin ombré,Grijsborsttangare,Серогрудый дромник,チャバラヤブフウキンチョウ,tangara šedoprsá,tàngara de matollar cendrosa,dusky chlorospingus,gråbrysttanagarspurv,Кафявоглава зелена танагра,gråhuvad busksparv,Olivenbrun Krattangar,Esmer Klorospingus,olivec sivobruchý,Tamni hlorospingus,Зеленник сірогрудий,暗腹灌丛唐纳雀,tummasammaltangara,Clorospingo oscuro,Clorospingo Oscuro,Clorospingo Oscuro,Dusky chlorospingus,mrki strnadar,Dusky Chlorospingus,سبزجامه تیره,Tanagr prysgoed torllwyd,tuhk-samblasidrik
Chlorospingus tacarcunae,Tacarcuna Chlorospingus,Aves,Tacarcuna-Grünammer,Clorospingo del Tacarcuna,zieleniec skromny,Chlorospin du Tacarcuna,Tacarcunatangare,Такаркунский дромник,メジロヤブフウキンチョウ,tangara panamská,tàngara de matollar del Tacarcuna,tacarcuna chlorospingus,tacarcunatanagarspurv,Такаркунска зелена танагра,tacarcunabusksparv,Tacarcuna Krattangar,Takarkuna Klorospingusu,olivec tacarcunský,Takarkunski hlorospingus,Зеленник такаркунський,Tacarcuna Chlorospingus,darienintangara,Clorospingo del Tacarcuna,Clorospingo del Tacarcuna,Clorospingo del Tacarcuna,Tacarcuna chlorospingus,takarkunski strnadar,Tacarcuna Chlorospingus,Tacarcuna Chlorospingus,Tanagr prysgoed Tacarcuna,panama samblasidrik
Chlorostilbon alice,Green-tailed Emerald,Aves,Alicesmaragdkolibri,Esmeralda Coliverde,złocik wenezuelski,Émeraude alice,Groenstaartsmaragdkolibrie,Зеленохвостый изумруд,ミドリオヒメエメラルドハチドリ,kolibřík venezuelský,colibrí maragda cuaverd,green-tailed emerald,grønnstjertsmaragd,Зеленоопашато смарагдово колибри,grönstjärtad smaragd,Grønhalet Smaragd,Yeşil Kuyruklu Zümrüt,smaragdovec zelenochvostý,Zelenorepi smaragdni kolibri,Колібрі-смарагд венесуельський,绿尾翠蜂鸟,tarhasmaragdikolibri,Esmeralda coliverde,Esmeralda Coliverde,Esmeralda Coliverde,Green-tailed emerald,Green-tailed Emerald,Žaliauodegis smaragdinis kolibris,زمردی دمسبز,Emrallt cynffonwyrdd,veere-smaragdkoolibri
Chlorostilbon assimilis,Garden Emerald,Aves,Gartensmaragdkolibri,Esmeralda Afín,złocik ogrodowy,Émeraude du Panama,Tuinsmaragdkolibrie,Садовый изумруд,パナマヒメエメラルドハチドリ,kolibřík zahradní,colibrí maragda de Panamà,garden emerald,hagesmaragd,Градинско смарагдово колибри,panamasmaragd,Panama Smaragd,Panama Zümrütü,smaragdovec záhradný,Baštenski smaragdni kolibri,Колібрі-смарагд садовий,花园翠蜂鸟,panamansmaragdikolibri,Esmeralda afín,Esmeralda Afín,Esmeralda Afín,Garden emerald,crnokljuni kolibrić,Sodinis smaragdinis kolibris,زمردی باغچه,Emrallt gerddi,aed-smaragdkoolibri
Chlorostilbon gibsoni,Red-billed Emerald,Aves,Kolumbiensmaragdkolibri,Esmeralda Piquirroja,złocik czerwonodzioby,Émeraude de Gibson,Roodsnavelsmaragdkolibrie,Красноклювый изумруд,アカハシヒメエメラルドハチドリ,kolibřík Gibsonův,colibrí maragda de Gibson,red-billed emerald,rødnebbsmaragd,Червеноклюно смарагдово колибри,magdalenasmaragd,Rødnæbbet Smaragd,Kırmızı Gagalı Zümrüt,smaragdovec suchomilný,Crvenokljuni smaragdni kolibri,Колібрі-смарагд колумбійський,红嘴翠蜂鸟,pensaikkosmaragdikolibri,Esmeralda piquirroja,Esmeralda Piquirroja,Esmeralda Pico Rojo,Red-billed emerald,zelena smaragdnica,Raudonsnapis smaragdinis kolibris,زمردی شکمسرخ,Emrallt picoch,punanokk-smaragdkoolibri
Chlorostilbon lucidus,Glittering-bellied Emerald,Aves,Goldbauch-Smaragdkolibri,Esmeralda Ventridorada,złocik złotobrzuchy,Émeraude splendide,Goudbuiksmaragdkolibrie,Сверкающий изумруд,アオムネヒメエメラルドハチドリ,kolibřík lesklobřichý,colibrí maragda ventredaurat,besourinho-de-bico-vermelho,glansbuksmaragd,Бразилско смарагдово колибри,glanssmaragd,Glanssmaragd,Altın Karınlı Zümrüt,smaragdovec zlatobruchý,Južni smaragdni kolibri,Колібрі-смарагд золоточеревий,辉腹翠蜂鸟,hohtosmaragdikolibri,Esmeralda ventridorada,Esmeralda Ventridorada,Esmeralda de Vientre Dorado,Besourinho-de-bico-vermelho,blistavotrbi kolibrić,Auksapilvis smaragdinis kolibris,زمردی شکمبراق,Emrallt deheuol,lõuna-smaragdkoolibri
Chlorostilbon melanorhynchus,Western Emerald,Aves,Hochland-Smaragdkolibri,Esmeralda Occidental,złocik czarnodzioby,Émeraude à bec noir,West-Andessmaragdkolibrie,Черноклювый изумруд,ニシアンデスエメラルドハチドリ,kolibřík blýskavý,colibrí maragda occidental,western emerald,svartnebbsmaragd,Колумбийско смарагдово колибри,västandinsk smaragd,Vestsmaragd,Batılı Zümrüt,smaragdovec blyšťavý,Zapadni smaragdni kolibri,Колібрі-смарагд західний,西翠蜂鸟,vihersmaragdikolibri,Esmeralda occidental,Western Emerald,Esmeralda Occidental,Western emerald,Western Emerald,Vakarinis smaragdinis kolibris,زمردی غربی,Western Emerald,läänekolumbia smaragdkoolibri
Chlorostilbon mellisugus,Blue-tailed Emerald,Aves,Blauschwanz-Smaragdkolibri,Esmeralda Coliazul,złocik szmaragdowy,Émeraude orvert,Blauwstaartsmaragdkolibrie,Синехвостый изумруд,アイオヒメエメラルドハチドリ,kolibřík modroocasý,colibrí maragda cuablau,esmeralda-de-cauda-azul,blåstjertsmaragd,Синьоопашато смарагдово колибри,blåstjärtad smaragd,Blåhalet Smaragd,Mavi Kuyruklu Zümrüt,smaragdovec medosavý,Plavorepi smaragdni kolibri,Колібрі-смарагд синьохвостий,蓝尾翠蜂鸟,mesismaragdikolibri,Esmeralda coliazul,Esmeralda Coliazul,Esmeralda Coliazul,Esmeralda-de-cauda-azul,smaragdni kolibrić,Mėlynuodegis smaragdinis kolibris,زمردی دمآبی,Emrallt cynffonlas y De,sinisaba-smaragdkoolibri
Chlorostilbon olivaresi,Chiribiquete Emerald,Aves,Chiribiquete-Smaragdkolibri,Esmeralda del Chiribiquete,złocik zielony,Émeraude d'Olivares,Chiribiquetesmaragdkolibrie,Чирибикетесский изумруд,コロンビアヒメエメラルドハチドリ,kolibřík chiribiquetský,colibrí maragda d'Olivares,chiribiquete emerald,chiribiquetesmaragd,Чирибикетско смарагдово колибри,chiribiquetesmaragd,Chiribiquete Smaragd,Çiribikete Zümrütü,smaragdovec zelený,Smaragdni kolibri sa planine Čiribikete,Колібрі-смарагд золотистий,奇里翠蜂鸟,vuorismaragdikolibri,Esmeralda del Chiribiquete,Esmeralda del Chiribiquete,Esmeralda del Chiribiquete,Chiribiquete emerald,čiribikvetski kolibrić,Kolumbinis smaragdinis kolibris,Chiribiquete Emerald,Chiribiquete Emerald,chiribiquete smaragdkoolibri
Chlorostilbon poortmani,Short-tailed Emerald,Aves,Grünschwanz-Smaragdkolibri,Esmeralda Colicorta,złocik krótkosterny,Émeraude à queue courte,Kortstaartsmaragdkolibrie,Короткохвостый изумруд,タンビヒメエメラルドハチドリ,kolibřík Poortmanův,colibrí maragda cuacurt,short-tailed emerald,kortstjertsmaragd,Късоопашато смарагдово колибри,kortstjärtad smaragd,Korthalet Smaragd,Kısa Kuyruklu Zümrüt,smaragdovec krátkochvostý,Kratkorepi smaragdni kolibri,Колібрі-смарагд короткохвостий,短尾翠蜂鸟,tynkäsmaragdikolibri,Esmeralda colicorta,Esmeralda Colicorta,Esmeralda Cola Corta,Short-tailed emerald,kratkorepa smaragdnica,Trumpauodegis smaragdinis kolibris,زمردی دمکوتاه,Emrallt cwta,lühisaba-smaragdkoolibri
Chlorothraupis carmioli,Carmiol's Tanager,Aves,Carmiolkardinal,Tangara de Carmiol,habia oliwkowa,Habia de Carmiol,Carmioltangare,Зелёная хабия,オリーブフウキンチョウ,tangara Carmiolova,havia de Carmiol,carmiol's tanager,grønnkardinal,Северна маслинова танагра,olivkardinal,Gulstrubet Olivenhabia,Carmiol Kocabaşı,habia olivová,Karmiolova tangara,Ґваяберо оливковий,卡氏唐纳雀,panamanlörppötangara,Tangara de Carmiol,Tangara de Carmiol,Tangara Oliva,Carmiol's tanager,maslinasti batač,Carmiol's Tanager,Carmiol's Tanager,Tanagr Carmiol,Carmiol's Tanager
Chlorothraupis frenata,Yellow-lored Tanager,Aves,Streifenkehlkardinal,Tangara Embridada,habia żółtokantarowa,Habia bridé,Groene tangare,Оливковая хабия,キビタイオリーブフウキンチョウ,Yellow-lored Tanager,havia embridada,yellow-lored tanager,olivenkardinal,Южна маслинова танагра,gultyglad kardinal,Grønrygget Olivenhabia,Sarı Alınlı Kocabaş,habia jednofarebná,Maslinastožuta tangara,Ґваяберо жовтоволий,绿唐纳雀,Yellow-lored Tanager,Tangara embridada,Tangara Embridada,Tangara Loriamarilla,Yellow-lored tanager,gorski batač,Yellow-lored Tanager,Yellow-lored Tanager,Yellow-lored Tanager,Yellow-lored Tanager
Chlorothraupis olivacea,Lemon-spectacled Tanager,Aves,Gelbbrauenkardinal,Tangara Olivácea,habia okularowa,Habia à lunettes,Geelbriltangare,Очковая хабия,メガネオリーブフウキンチョウ,tangara okrová,havia d'ulleres,lemon-spectacled tanager,gulbrillekardinal,Чокоенска маслинова танагра,glasögonkardinal,Brillehabia,Limoni Gözlü Kocabaş,habia okuliarnatá,Žutonaočarasta tangara,Ґваяберо колумбійський,黄眉绿唐纳雀,rillilörppötangara,Tangara olivácea,Tangara Olivácea,Tangara Ojeralimón (de Anteojos),Lemon-spectacled tanager,kolumbijski batač,Lemon-spectacled Tanager,Lemon-spectacled Tanager,Tanagr sbectol felen,Lemon-spectacled Tanager
Chlorothraupis stolzmanni,Ochre-breasted Tanager,Aves,Ockerbrustkardinal,Tangara Pechiocre,habia Sztolcmana,Habia de Stolzmann,Okerborsttangare,Охристогрудая хабия,キムネオリーブフウキンチョウ,tangara Stolzmannova,havia de Stolzmann,ochre-breasted tanager,okerbrystkardinal,Еквадорска маслинова танагра,ockrabröstad kardinal,Okkerbrystet Olivenhabia,Koyu Göğüslü Kocabaş,habia okrovoprsá,Jednolična tangara,Ґваяберо вохристоволий,赭胸绿唐纳雀,lörppötangara,Tangara pechiocre,Tangara Pechiocre,Tangara Pechiocrácea,Ochre-breasted tanager,maslinastoleđi batač,Ochre-breasted Tanager,Ochre-breasted Tanager,Tanagr bronfelyngoch,Ochre-breasted Tanager
Paradoxornis paradoxus,Three-toed Parrotbill,Aves,Dreizehen-Papageimeise,Picoloro Tridáctilo,ogoniatka trójpalczasta,Paradoxornis tridactyle,Drieteendiksnavelmees,Трёхпалая сутора,ミユビダルマエナガ,sýkořice tříprstá,paradoxornis tridàctil,three-toed parrotbill,tretåbuttnebb,Трипръст папагалов синигер,tretåig papegojnäbb,Tretået Papegøjenæb,Üç Parmaklı Papağangaga,sutora trojprstá,Troprsta papagajska senica,Сутора трипала,三趾鸦雀,isokekonokka,Picoloro tridáctilo,Picoloro Tridáctilo,Picoloro Tridáctilo,Three-toed parrotbill,troprsta papigokljunka,Tripirštis storasnapis,Three-toed Parrotbill,Three-toed Parrotbill,kolmvarvas-koonusnokk
Paradoxornis unicolor,Brown Parrotbill,Aves,Einfarb-Papageimeise,Picoloro Unicolor,ogoniatka brązowa,Paradoxornis unicolore,Bruine diksnavelmees,Одноцветная сутора,ヒマラヤダルマエナガ,sýkořice šedoprsá,paradoxornis unicolor,brown parrotbill,brunbuttnebb,Кафяв папагалов синигер,brun papegojnäbb,Brun Papegøjenæb,Kahverengi Papağangaga,sutora hnedá,Smeđa papagajska senica,Сутора бронзова,褐鸦雀,ruskokekonokka,Picoloro unicolor,Picoloro Unicolor,Picoloro Unicolor,Brown parrotbill,smeđa papigokljunka,Rudasis storasnapis,طوطینوک قهوهای,Gylfindro brown,pruun-koonusnokk
Chondestes grammacus,Lark Sparrow,Aves,Rainammer,Chingolo Arlequín,trawiarczyk,Bruant à joues marron,Roodoorgors,Прерийная овсянка,ヒバリヒメドリ,strnádka travní,sit arlequí,escrevedeira-arlequim,lerkespurv,Чучулигово врабче,lärksparv,Lærkespurv,Toygar Serçesi,strnádlik harlekýnsky,Ševoliki strnad,Потюк,鹨雀鹀,kirjopääsirkku,Chingolo arlequín,Gorrión Arlequín,Chingolo Arlequín,Escrevedeira-arlequim,šarenoglavi strnadar,Misisipinė žvirbliastartė,گنجشک چکاوکی,Ehedydd-fras America,lõosidrik
Chondrohierax uncinatus,Hook-billed Kite,Aves,Langschnabelweih,Milano Picogarfio,hakodziób amerykański,Bec-en-croc de Temminck,Langsnavelwouw,Длинноклювый улиткоед,カギハシトビ,hákozobec neotropický,milà becganxut,gavião-caracoleiro,kroknebbglente,Кукоклюна каня,kroknäbbsglada,Papegøjebaza,Çengel Gagalı Çaylak,luň hákozobý,Kukastokljuna lunja,Шуляк гачкодзьобий,钩嘴鸢,väkänokkahaukka,Milano picogarfio,Gavilán Pico de Gancho,Elanio Piquiganchudo,Caracoleiro,kukastokljuna lunja,Ilgasnapis peslys,کورکور نوکچنگکی,Barcud pigfachog,konksnokk-haugas
Chordeiles acutipennis,Lesser Nighthawk,Aves,Texasnachtschwalbe,Añapero Garrapena,lelczyk ostroskrzydły,Engoulevent minime,Texaanse nachtzwaluw,Малый сумеречник,コアメリカヨタカ,lelek menší,enganyapastors de doble collar,bacurau-de-asa-fina,trillenatthauk,Малък сумрачен козодой,mindre falknattskärra,Gråvinget Nathøg,Çorak Gecedoğanı,súmračník ostrokrídly,Mali američki leganj,Анаперо малий,小灰眉夜鹰,harmaahaukkakehrääjä,Añapero garrapena,Chotacabras Menor,Añapero Menor,Bacurau-d'asa-fina,sivokrili leganj,Mažasis sutemų lėlys,شبگردباز کوچک,Cudylldroellwr bach,välja-videvikusorr
Chordeiles gundlachii,Antillean Nighthawk,Aves,Antillennachtschwalbe,Añapero Querequeté,lelczyk antylski,Engoulevent piramidig,Antilliaanse nachtzwaluw,Антильский сумеречник,カリブヨタカ,lelek antilský,enganyapastors de les Antilles,bacurau-das-antilhas,antillnatthauk,Антилски сумрачен козодой,karibfalknattskärra,Caribisk Nathøg,Antil Gecedoğanı,súmračník antilský,Antilski leganj,Анаперо антильський,安岛夜鹰,antillienhaukkakehrääjä,Añapero querequeté,Añapero Querequeté,Añapero Caribeño,Bacurau-das-antilhas,antilski leganj,Antilinis sutemų lėlys,شبگردباز آنتیلی,Cudylldroellwr y Caribî,antilli videvikusorr
Chordeiles minor,Common Nighthawk,Aves,Falkennachtschwalbe,Añapero Yanqui,lelczyk mały,Engoulevent d'Amérique,Amerikaanse nachtzwaluw,Виргинский сумеречник,アメリカヨタカ,lelek sokolí,enganyapastors americà,bacurau-norte-americano,nordnatthauk,Вирджински сумрачен козодой,större falknattskärra,Nathøg,Gecedoğanı,súmračník krahulčí,Američki leganj,Анаперо віргінський,美洲夜鹰,isohaukkakehrääjä,Añapero yanqui,Chotacabras Zumbón,Añapero Común,Bacurau-norte-americano,mali leganj,Paprastasis sutemų lėlys,شبگردباز معمولی,Cudylldroellwr,videvikusorr
Chordeiles nacunda,Nacunda Nighthawk,Aves,Weißbauch-Nachtschwalbe,Añapero Ñacundá,lelczyk duży,Engoulevent nacunda,Nacundanachtzwaluw,Белобрюхий сумеречник,シロハラヨタカ,lelek skvrnokřídlý,enganyapastors nyacundà,corucão,nacundanatthauk,Белокорем сумрачен козодой,nacundafalknattskärra,Nacunda Nathøg,Nakunda Gecedoğanı,súmračník nakunda,Nakunda leganj,Накунда,纳昆达夜鹰,valkovatsakehrääjä,Añapero ñacundá,Añapero Ñacundá,Añapero Nacundá,Corucão,smeđi leganj,Baltapilvis lėlys,شبگردباز ناکوندا,Cudylldroellwr mawr,suur-videvikusorr
Chordeiles pusillus,Least Nighthawk,Aves,Gnomennachtschwalbe,Añapero Menudo,lelczyk malutki,Engoulevent nain,Kleinste nachtzwaluw,Карликовый сумеречник,コビトアメリカヨタカ,lelek nejmenší,enganyapastors menut,bacurauzinho,tussenatthauk,Саванен сумрачен козодой,dvärgfalknattskärra,Dværgnathøg,Küçük Gecedoğanı,súmračník malý,Patuljasti američki leganj,Анаперо карликовий,小白喉夜鹰,pikkuhaukkakehrääjä,Añapero menudo,Añapero Menudo,Añapero Chico,Bacurauzinho,patuljasti leganj,Nykštukinis sutemų lėlys,شبگردباز ریزجثه,Cudylldroellwr bychan,väike-videvikusorr
Chordeiles rupestris,Sand-colored Nighthawk,Aves,Flussnachtschwalbe,Añapero Blanco,lelczyk blady,Engoulevent sable,Zandkleurige nachtzwaluw,Речной сумеречник,スナイロアメリカヨタカ,lelek pískobarvý,enganyapastors pàl·lid,bacurau-da-praia,sandnatthauk,Пясъчен сумрачен козодой,sandfalknattskärra,Sandfarvet Nathøg,Kum Gecedoğanı,súmračník pieskový,Peščani leganj,Анаперо блідий,沙色夜鹰,särkkäkehrääjä,Añapero blanco,Añapero Blanco,Añapero Arenisco,Bacurau-da-praia,bjelovrati leganj,Smėlinis sutemų lėlys,شبگردباز شنرنگ,Cudylldroellwr gwelw,leete-videvikusorr
